id,citing,cited,creation,is_citing_iris,is_cited_iris
oci:061203481356-061801292847,omid:br/061203481356,omid:br/061801292847,2022-11-01,false,true
oci:061403506894-06220384789,omid:br/061403506894,omid:br/06220384789,2022-09-16,true,false
oci:06901326444-06202599826,omid:br/06901326444,omid:br/06202599826,2022-06-29,false,true
oci:061403522320-06303155780,omid:br/061403522320,omid:br/06303155780,2022-11-12,true,false
oci:062403522826-0652049863,omid:br/062403522826,omid:br/0652049863,2022-10-14,false,true
oci:062203533232-06140432015,omid:br/062203533232,omid:br/06140432015,2022-10-06,false,true
oci:061503490943-062501028525,omid:br/061503490943,omid:br/062501028525,2022-11,true,false
oci:06503951919-06401022505,omid:br/06503951919,omid:br/06401022505,2022-12,false,true
oci:061403509898-0680106130,omid:br/061403509898,omid:br/0680106130,2023-03,false,true
oci:061803520278-0634062186,omid:br/061803520278,omid:br/0634062186,2022-11-14,false,true
oci:06901326477-06180449657,omid:br/06901326477,omid:br/06180449657,2022-06-28,true,false
oci:06303954743-061601524082,omid:br/06303954743,omid:br/061601524082,2022-11,true,true
oci:062503119989-062401680807,omid:br/062503119989,omid:br/062401680807,2022-06,false,true
oci:061103449869-061602166486,omid:br/061103449869,omid:br/061602166486,2022-07,false,true
oci:06130176774-06502413459,omid:br/06130176774,omid:br/06502413459,2022-09,false,true
oci:06603938872-06902885285,omid:br/06603938872,omid:br/06902885285,2022-11-15,false,true
oci:0640290571-0670287556,omid:br/0640290571,omid:br/0670287556,2022-11,true,false
oci:061703499444-06140690033,omid:br/061703499444,omid:br/06140690033,2022-10-06,false,true
oci:063909156-062402608921,omid:br/063909156,omid:br/062402608921,2022-09,false,true
oci:061603530017-061401267735,omid:br/061603530017,omid:br/061401267735,2022-10-21,false,true
oci:06603983412-06601225566,omid:br/06603983412,omid:br/06601225566,2023,false,true
oci:06302830185-06130393486,omid:br/06302830185,omid:br/06130393486,2022-09,true,false
oci:061203545885-062601580973,omid:br/061203545885,omid:br/062601580973,2022-11-12,true,false
oci:061602446151-06901666970,omid:br/061602446151,omid:br/06901666970,2022-08,false,true
oci:061303533682-061801873941,omid:br/061303533682,omid:br/061801873941,2022,false,true
oci:06303511932-062301249675,omid:br/06303511932,omid:br/062301249675,2022-07,true,false
oci:061703490291-061801558541,omid:br/061703490291,omid:br/061801558541,2012-02,false,true
oci:064098465-06503466167,omid:br/064098465,omid:br/06503466167,2022-10,false,true
oci:064207645-06401691908,omid:br/064207645,omid:br/06401691908,2022-06-28,true,false
oci:062503535001-06150204324,omid:br/062503535001,omid:br/06150204324,2022-11-12,false,true
oci:061303518907-06250393039,omid:br/061303518907,omid:br/06250393039,2022-10-07,false,true
oci:062203504340-06803708269,omid:br/062203504340,omid:br/06803708269,2022-10-06,false,true
oci:06303943492-061701609044,omid:br/06303943492,omid:br/061701609044,2022-10-05,true,false
