flow,citing_loc_label,cited_loc_label,weight
Internal,SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,2387
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,SCIENCE,2356
Incoming,Others,Multidisciplinary,2303
Incoming,Others,PHILOSOPHY. PSYCHOLOGY. RELIGION,2272
Incoming,Multidisciplinary,Others,2220
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,TECHNOLOGY,2177
Outgoing,Multidisciplinary,Others,2171
Incoming,AGRICULTURE,LANGUAGE AND LITERATURE,2146
Incoming,LANGUAGE AND LITERATURE,AGRICULTURE,2088
Incoming,Multidisciplinary,EDUCATION,2051
Internal,Others,SCIENCE,2045
Incoming,LANGUAGE AND LITERATURE,Multidisciplinary,2034
Incoming,Multidisciplinary,POLITICAL SCIENCE,2027
Outgoing,Others,Multidisciplinary,1925
Internal,TECHNOLOGY,AGRICULTURE,1900
Outgoing,SCIENCE,FINE ARTS,1887
Outgoing,LANGUAGE AND LITERATURE,Multidisciplinary,1877
Incoming,TECHNOLOGY,LANGUAGE AND LITERATURE,1826
Outgoing,MEDICINE,FINE ARTS,1768
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,PHILOSOPHY. PSYCHOLOGY. RELIGION,1719
Incoming,SCIENCE,FINE ARTS,1631
Internal,Others,Others,1609
Internal,AGRICULTURE,TECHNOLOGY,1605
Outgoing,Multidisciplinary,LANGUAGE AND LITERATURE,1595
Internal,SOCIAL SCIENCES,AGRICULTURE,1579
Outgoing,LANGUAGE AND LITERATURE,TECHNOLOGY,1539
Internal,AGRICULTURE,Multidisciplinary,1493
Internal,LANGUAGE AND LITERATURE,SCIENCE,1366
Internal,Multidisciplinary,Multidisciplinary,1347
Outgoing,LANGUAGE AND LITERATURE,Others,1340
Outgoing,Others,LANGUAGE AND LITERATURE,1336
Incoming,MEDICINE,FINE ARTS,1330
Internal,MEDICINE,LANGUAGE AND LITERATURE,1315
Internal,SCIENCE,LANGUAGE AND LITERATURE,1298
Internal,EDUCATION,AGRICULTURE,1285
Internal,POLITICAL SCIENCE,AGRICULTURE,1284
Internal,LANGUAGE AND LITERATURE,MEDICINE,1231
Incoming,LANGUAGE AND LITERATURE,TECHNOLOGY,1224
Internal,Multidisciplinary,AGRICULTURE,1184
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,1123
Incoming,FINE ARTS,SCIENCE,1084
Internal,AGRICULTURE,SOCIAL SCIENCES,1082
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,1081
Internal,SOCIAL SCIENCES,PHILOSOPHY. PSYCHOLOGY. RELIGION,1006
Incoming,Others,LANGUAGE AND LITERATURE,996
