flow,citing_loc_label,cited_loc_label,weight
Internal,POLITICAL SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,1433
Internal,Others,SCIENCE,1417
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,SCIENCE,1402
Incoming,Multidisciplinary,Others,1396
Incoming,LANGUAGE AND LITERATURE,Multidisciplinary,1391
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,SOCIAL SCIENCES,1377
Incoming,Others,Multidisciplinary,1342
Internal,SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,1308
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,EDUCATION,1296
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,POLITICAL SCIENCE,1292
Outgoing,Multidisciplinary,Others,1214
Incoming,TECHNOLOGY,LANGUAGE AND LITERATURE,1157
Internal,TECHNOLOGY,AGRICULTURE,1136
Internal,AGRICULTURE,TECHNOLOGY,1127
Outgoing,LANGUAGE AND LITERATURE,TECHNOLOGY,1085
Internal,AGRICULTURE,Multidisciplinary,1078
Internal,SOCIAL SCIENCES,AGRICULTURE,1024
Incoming,LANGUAGE AND LITERATURE,AGRICULTURE,1020
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,LANGUAGE AND LITERATURE,998
Internal,POLITICAL SCIENCE,AGRICULTURE,939
Internal,EDUCATION,AGRICULTURE,937
Incoming,AGRICULTURE,LANGUAGE AND LITERATURE,931
Internal,LANGUAGE AND LITERATURE,MEDICINE,906
Internal,LANGUAGE AND LITERATURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,893
Internal,MEDICINE,LANGUAGE AND LITERATURE,873
Outgoing,SCIENCE,FINE ARTS,872
Outgoing,LANGUAGE AND LITERATURE,Others,866
Internal,LANGUAGE AND LITERATURE,SCIENCE,834
Internal,Multidisciplinary,Multidisciplinary,819
Incoming,LANGUAGE AND LITERATURE,TECHNOLOGY,815
Incoming,MEDICINE,FINE ARTS,810
Internal,AGRICULTURE,SOCIAL SCIENCES,805
Internal,Multidisciplinary,AGRICULTURE,800
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,LANGUAGE AND LITERATURE,744
Incoming,SCIENCE,FINE ARTS,742
Internal,SCIENCE,LANGUAGE AND LITERATURE,702
Internal,AGRICULTURE,EDUCATION,691
Internal,AGRICULTURE,POLITICAL SCIENCE,691
Incoming,Multidisciplinary,LANGUAGE AND LITERATURE,672
Internal,LANGUAGE AND LITERATURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,640
Outgoing,MEDICINE,FINE ARTS,632
Incoming,LANGUAGE AND LITERATURE,Others,627
Internal,LANGUAGE AND LITERATURE,LANGUAGE AND LITERATURE,609
Internal,SOCIAL SCIENCES,LANGUAGE AND LITERATURE,586
Internal,SOCIAL SCIENCES,TECHNOLOGY,552
Internal,POLITICAL SCIENCE,LANGUAGE AND LITERATURE,550
Internal,EDUCATION,LANGUAGE AND LITERATURE,550
Internal,LANGUAGE AND LITERATURE,SOCIAL SCIENCES,507
Internal,TECHNOLOGY,SOCIAL SCIENCES,492
Internal,LANGUAGE AND LITERATURE,EDUCATION,471
Internal,LANGUAGE AND LITERATURE,POLITICAL SCIENCE,470
Incoming,FINE ARTS,SCIENCE,469
Internal,EDUCATION,TECHNOLOGY,464
Internal,POLITICAL SCIENCE,TECHNOLOGY,459
Internal,Others,SOCIAL SCIENCES,451
Internal,TECHNOLOGY,Multidisciplinary,443
Outgoing,FINE ARTS,SCIENCE,439
Internal,TECHNOLOGY,Others,424
Incoming,Others,LANGUAGE AND LITERATURE,424
Internal,Others,TECHNOLOGY,421
